id,exam_id,question_id,sort_order,points,created_at
7c929d9f-0c83-56f5-aff3-005ae2f5b0c2,326c8992-7af5-5a51-b722-c2e7d471d89d,0493e45e-1907-5949-bd6a-ba80538f0ab5,1,1,2026-06-24T12:00:00+00:00
5246350d-aa3d-55a0-9ff1-0a8bb82afd6f,326c8992-7af5-5a51-b722-c2e7d471d89d,b52b4210-e901-5fcd-9569-a4daaae80558,2,1,2026-06-24T12:00:00+00:00
ad7589ce-f905-543b-aaea-1685d8197125,326c8992-7af5-5a51-b722-c2e7d471d89d,c81d580a-8c58-5c48-94e9-f92361fdac88,3,2,2026-06-24T12:00:00+00:00
d8317c7a-0098-51bd-9769-e93e39e6e8d7,d50db501-566c-5a52-90f7-e61cb0fb8c84,4d0d5935-f658-5361-ab67-9361f6ad9c43,1,1,2026-06-24T12:00:00+00:00
2b32704e-db76-5566-b2de-49bfea33765f,d50db501-566c-5a52-90f7-e61cb0fb8c84,af9e133d-32ca-567f-9803-39cc4ac5cc2e,2,1,2026-06-24T12:00:00+00:00
4af3a3ba-6dfe-5fad-828c-62c4413dacc6,d50db501-566c-5a52-90f7-e61cb0fb8c84,7e40030b-c1e0-5460-8fd1-f205fdcc931a,3,2,2026-06-24T12:00:00+00:00
61f1fd8a-c565-5f07-838e-eb26dd0dd953,f1c2c7b0-b5d9-5679-8e9d-e8d6badb98c7,96708596-e8e3-5883-9aa9-f6eb02a09d9a,1,1,2026-06-24T12:00:00+00:00
f5ac09d9-729d-5acf-b787-852bce6c415e,f1c2c7b0-b5d9-5679-8e9d-e8d6badb98c7,c5641d52-e2fc-5991-870b-0f42ab063a76,2,1,2026-06-24T12:00:00+00:00
b57009b4-4dfa-5dd7-b9a0-c66bd8cae7b6,f1c2c7b0-b5d9-5679-8e9d-e8d6badb98c7,4d899a2e-f045-5836-b5a7-fd9f511e0245,3,2,2026-06-24T12:00:00+00:00
9e967470-cab6-5eff-af34-ede3c38c03e5,9a1923df-ab9a-5720-8fc2-70fcbd3a6a8c,a59d9a56-822c-5b64-93ce-62e8d0946f5a,1,1,2026-06-24T12:00:00+00:00
