id,subject_id,name,taught_date,created_at
b3f4ed34-8079-5086-994e-d97ecdb5c328,c37f63b6-e0e0-56cf-9338-2369a2600b83,שברים,2026-02-18,2026-06-22T12:00:00+00:00
c1bbf5dc-d811-509f-874f-e9e41a3f8962,c37f63b6-e0e0-56cf-9338-2369a2600b83,גיאומטריה,2026-02-28,2026-06-22T12:00:00+00:00
faca4653-ed63-552f-a9b2-20760cbf2d80,c37f63b6-e0e0-56cf-9338-2369a2600b83,בעיות מילוליות,2026-03-10,2026-06-22T12:00:00+00:00
dfb71247-0ffa-569c-965c-9ff56159c7d1,19f9382c-c3e6-5c61-8e0b-e42a53ba49ed,הבנת הנקרא,2026-02-18,2026-06-22T12:00:00+00:00
f1c8133d-6edd-51bc-b8ff-160794a47735,19f9382c-c3e6-5c61-8e0b-e42a53ba49ed,מבנה כתיבה,2026-02-28,2026-06-22T12:00:00+00:00
2e6b1c5b-ff6c-5ab7-9b6f-b371a6ad958a,19f9382c-c3e6-5c61-8e0b-e42a53ba49ed,אוצר מילים,2026-03-10,2026-06-22T12:00:00+00:00
a03fb1cb-70e8-5995-8400-704c65806b94,d8815ba0-649a-5bb6-9b62-3b7bd1d0e638,אוצר מילים באנגלית,2026-02-18,2026-06-22T12:00:00+00:00
6cd1e053-297b-5821-aceb-cb55f7f6366a,d8815ba0-649a-5bb6-9b62-3b7bd1d0e638,דקדוק באנגלית,2026-02-28,2026-06-22T12:00:00+00:00
cadf61c7-1e20-583c-a655-6ffb20ea8eaf,d8815ba0-649a-5bb6-9b62-3b7bd1d0e638,קריאה קצרה באנגלית,2026-03-10,2026-06-22T12:00:00+00:00
eef7167c-f87a-59d0-bb1e-82dc5473bef3,d2b215ea-c319-5dbf-96d4-8b9754683c2a,שברים,2026-02-25,2026-06-22T12:00:00+00:00
1315c5fd-5d36-50df-b379-5584de015091,d2b215ea-c319-5dbf-96d4-8b9754683c2a,גיאומטריה,2026-03-07,2026-06-22T12:00:00+00:00
57aced98-bcdc-5b38-9a40-531b8d76f6a1,d2b215ea-c319-5dbf-96d4-8b9754683c2a,בעיות מילוליות,2026-03-17,2026-06-22T12:00:00+00:00
d11caf06-ff7d-57a6-88fe-9201f3fc37fe,85154353-28a2-55bc-a272-63eb4efbbd92,הבנת הנקרא,2026-02-25,2026-06-22T12:00:00+00:00
65170e85-2ebb-53e9-a774-672b7e6c7bb5,85154353-28a2-55bc-a272-63eb4efbbd92,מבנה כתיבה,2026-03-07,2026-06-22T12:00:00+00:00
ab289dd9-8632-50b1-9827-989c6977b187,85154353-28a2-55bc-a272-63eb4efbbd92,אוצר מילים,2026-03-17,2026-06-22T12:00:00+00:00
762f6caf-f12c-56d0-b0d9-8318628a1e35,6abf1e4d-17c6-512d-8860-d42c1d28cf55,אוצר מילים באנגלית,2026-02-25,2026-06-22T12:00:00+00:00
52f17841-e18a-538f-bfa9-b87a228c562c,6abf1e4d-17c6-512d-8860-d42c1d28cf55,דקדוק באנגלית,2026-03-07,2026-06-22T12:00:00+00:00
99f54ca6-10ff-5146-9702-cd0db1776845,6abf1e4d-17c6-512d-8860-d42c1d28cf55,קריאה קצרה באנגלית,2026-03-17,2026-06-22T12:00:00+00:00
de8cbdd7-58bc-5046-b5a9-5123cc6a4f37,06034aef-43a8-5f21-8e49-0a154a329960,שברים,2026-02-18,2026-06-22T12:00:00+00:00
e5364019-c2ee-5b46-ae2e-abff08deaaf1,06034aef-43a8-5f21-8e49-0a154a329960,גיאומטריה,2026-02-28,2026-06-22T12:00:00+00:00
a3136ca7-0bdb-5dbc-a6fc-fbc6ccee97e8,06034aef-43a8-5f21-8e49-0a154a329960,בעיות מילוליות,2026-03-10,2026-06-22T12:00:00+00:00
b1c7f709-b237-5bdf-b1b5-9e24a05816d9,54ee5495-062b-5ba2-9fb3-39d726b1c2e6,הבנת הנקרא,2026-02-18,2026-06-22T12:00:00+00:00
637f87dc-bc9c-5cc3-8cd2-fb014dc137ef,54ee5495-062b-5ba2-9fb3-39d726b1c2e6,מבנה כתיבה,2026-02-28,2026-06-22T12:00:00+00:00
9e6703c0-9070-559b-b6ca-970a9381a7ad,54ee5495-062b-5ba2-9fb3-39d726b1c2e6,אוצר מילים,2026-03-10,2026-06-22T12:00:00+00:00
32beb691-f84c-5959-a91c-94d9a0754590,26e1e861-2a70-5a05-bf7d-7a5498c574e3,אוצר מילים באנגלית,2026-02-18,2026-06-22T12:00:00+00:00
3508eb67-2fb4-547f-a068-e336936b39e8,26e1e861-2a70-5a05-bf7d-7a5498c574e3,דקדוק באנגלית,2026-02-28,2026-06-22T12:00:00+00:00
a5b42ea4-a35a-5e26-8356-409ae8488cc6,26e1e861-2a70-5a05-bf7d-7a5498c574e3,קריאה קצרה באנגלית,2026-03-10,2026-06-22T12:00:00+00:00
aebe2a23-a410-511f-b2aa-eee96cdd1016,f42095c7-7e99-5577-b1e8-859ff5696129,שברים,2026-02-25,2026-06-22T12:00:00+00:00
f821d64e-9479-5a50-ba17-d244b30512c9,f42095c7-7e99-5577-b1e8-859ff5696129,גיאומטריה,2026-03-07,2026-06-22T12:00:00+00:00
d75d2a25-e5cc-5164-9e19-90689432dfb6,f42095c7-7e99-5577-b1e8-859ff5696129,בעיות מילוליות,2026-03-17,2026-06-22T12:00:00+00:00
cda900a4-2b50-5f21-a7cf-07ec43225406,37bd9b8d-bfd1-54d1-8066-09826199e78f,הבנת הנקרא,2026-02-25,2026-06-22T12:00:00+00:00
4708a432-b4e4-5efb-a2d6-32484de77646,37bd9b8d-bfd1-54d1-8066-09826199e78f,מבנה כתיבה,2026-03-07,2026-06-22T12:00:00+00:00
448b6372-bdcd-56ea-968a-29a2574f6070,37bd9b8d-bfd1-54d1-8066-09826199e78f,אוצר מילים,2026-03-17,2026-06-22T12:00:00+00:00
d98b72fc-65d5-5720-886e-4737c64d2002,b60174c4-e955-5532-9d98-85a34a90fa5f,אוצר מילים באנגלית,2026-02-25,2026-06-22T12:00:00+00:00
3c9e563a-8f50-5061-b269-a22424440a73,b60174c4-e955-5532-9d98-85a34a90fa5f,דקדוק באנגלית,2026-03-07,2026-06-22T12:00:00+00:00
