id,student_id,parent_id,relation_type,is_primary_contact,created_at
1db37910-4456-5061-b8bd-ca9cd75b60de,e69c95f0-1366-52c5-ba1d-87b0479b93d7,53546351-f757-5def-9fbb-e00209ca47bd,mother,True,2026-06-22T12:00:00+00:00
d55660af-56ce-52d1-a4f4-1fc3f3a351cf,e69c95f0-1366-52c5-ba1d-87b0479b93d7,56201f11-1778-56f6-a9e1-fbb76b81109d,father,False,2026-06-22T12:00:00+00:00
b332d83a-3dea-549c-a35f-4f80d754c4b8,535eda10-6732-54c5-bd6d-740c8844e57f,89bd91ae-27b3-57ac-85dc-c92158c6081a,mother,True,2026-06-22T12:00:00+00:00
e3c8060b-7ffb-5f71-9bc7-197c119cac6f,535eda10-6732-54c5-bd6d-740c8844e57f,c51071cc-2a0a-5c36-bf0c-ba8987e311e4,father,False,2026-06-22T12:00:00+00:00
f5e00bbe-94e1-514b-a831-0493d0fe9baa,1c08777d-ea13-55ff-b64e-2d2bb2ef4fda,96bf2ccd-5279-5551-97f2-d25da96fa1e6,mother,True,2026-06-22T12:00:00+00:00
16c58cdd-8083-58ac-afe7-e8c71b27269a,1c08777d-ea13-55ff-b64e-2d2bb2ef4fda,c312b3f6-d622-58e8-9041-cc00ceb29fd5,father,False,2026-06-22T12:00:00+00:00
9e10b77a-a6d5-5a91-a1da-1ce4759cab87,e3f080bc-9570-5682-8c99-ab238247b5fc,d234272e-6782-584a-843a-13c8e307f893,mother,True,2026-06-22T12:00:00+00:00
82ae011a-d4b4-54bc-9d37-129e7aabf62c,e3f080bc-9570-5682-8c99-ab238247b5fc,f924321a-9484-5303-b32a-a83cec823db7,father,False,2026-06-22T12:00:00+00:00
f24c6653-f4fe-5a77-b7b8-e9a0f19a8ed4,cc40401d-b8fe-5e22-bdf2-80fe040e480c,b5498af9-543b-5cad-887c-11f0305c438f,mother,True,2026-06-22T12:00:00+00:00
a1e3cdca-178b-57c7-8063-57939ffbda35,cc40401d-b8fe-5e22-bdf2-80fe040e480c,155450f0-c007-5426-ab7b-130c535d023d,father,False,2026-06-22T12:00:00+00:00
17311a8f-d6a8-5318-b508-bdb6e4580319,70939d89-d902-513c-87d8-10540dadcf88,1e8effc4-738c-5d2b-9d83-363d6e1f1c54,mother,True,2026-06-22T12:00:00+00:00
d5d200b2-da25-5bf7-9cce-9430b8932178,70939d89-d902-513c-87d8-10540dadcf88,ade5b48e-6b65-5f2d-89f2-289acc16f83c,father,False,2026-06-22T12:00:00+00:00
8500bbed-5f2e-5fdd-bc48-adfb4cb15177,2cc53407-b1da-5b5f-bb14-77fdc418cc59,a9a6af39-a02c-5e13-948e-fdf57d89c169,mother,True,2026-06-22T12:00:00+00:00
c148497b-afbf-5c8e-870f-cfa544fe1bba,2cc53407-b1da-5b5f-bb14-77fdc418cc59,f23ffc3c-5c92-5f7b-b358-8427b20b55d4,father,False,2026-06-22T12:00:00+00:00
39403cae-e1ff-51fa-9e4f-677a21e9a8d0,c722e870-4f15-5916-8550-42954d04a349,9c152977-2e8c-5344-aeca-6fed92f33c82,mother,True,2026-06-22T12:00:00+00:00
a0c339e3-cd9e-58d3-be1b-ceca25a720d1,c722e870-4f15-5916-8550-42954d04a349,2c36e768-306f-53f1-96ef-d30d65e6f31f,father,False,2026-06-22T12:00:00+00:00
2de14574-e3ad-5204-8110-e04981df847d,16797408-f16f-5c38-8a42-16c5a222b739,0541526d-b591-5dd0-99e2-d40d0a052ae8,mother,True,2026-06-22T12:00:00+00:00
0ccc275b-b9b0-522d-9f5a-572d9d3c0caa,16797408-f16f-5c38-8a42-16c5a222b739,eb1131cb-40c5-547c-ae40-89c539f934d2,father,False,2026-06-22T12:00:00+00:00
