id,analysis_id,topic_id,type,confidence_score,created_at
43c112ca-be8e-52fc-a605-e38df95936b1,c4b3d9ae-4f9c-50be-b705-6eca82e5087c,b3f4ed34-8079-5086-994e-d97ecdb5c328,strong,0.892,2026-06-23T12:00:00+00:00
5ddbcc24-f927-5506-a587-6e8e4a285c57,c4b3d9ae-4f9c-50be-b705-6eca82e5087c,c1bbf5dc-d811-509f-874f-e9e41a3f8962,strong,0.888,2026-06-23T12:00:00+00:00
e8b66cc5-4fbf-5fba-b41a-0be852228591,c4b3d9ae-4f9c-50be-b705-6eca82e5087c,faca4653-ed63-552f-a9b2-20760cbf2d80,strong,0.821,2026-06-23T12:00:00+00:00
c113893c-6735-577b-9bcb-3367cbe3f19d,46829147-32a7-506b-adc5-7971ac65331b,b3f4ed34-8079-5086-994e-d97ecdb5c328,strong,0.806,2026-06-23T12:00:00+00:00
3dd1a784-4d2c-5235-abd8-b0b7c8b11e87,46829147-32a7-506b-adc5-7971ac65331b,c1bbf5dc-d811-509f-874f-e9e41a3f8962,strong,0.803,2026-06-23T12:00:00+00:00
76584c46-8cee-565a-8347-5f3f757268a2,46829147-32a7-506b-adc5-7971ac65331b,faca4653-ed63-552f-a9b2-20760cbf2d80,strong,0.783,2026-06-23T12:00:00+00:00
cc81e6a2-ddaa-545d-95d7-c6a5ed66174a,563fd00c-ae8f-57b7-944a-f62a4dea5d4e,b3f4ed34-8079-5086-994e-d97ecdb5c328,strong,0.956,2026-06-23T12:00:00+00:00
8b7531d8-9812-535e-b099-3bcf0dc002a5,563fd00c-ae8f-57b7-944a-f62a4dea5d4e,c1bbf5dc-d811-509f-874f-e9e41a3f8962,missed,0.925,2026-06-23T12:00:00+00:00
529ac5c2-39ef-5f3c-a5d8-216ff8acf15a,563fd00c-ae8f-57b7-944a-f62a4dea5d4e,faca4653-ed63-552f-a9b2-20760cbf2d80,strong,0.928,2026-06-23T12:00:00+00:00
435e0bb9-2827-5732-9805-be805c674d7b,b966a30f-b120-567c-90b8-c1569fb81b11,b3f4ed34-8079-5086-994e-d97ecdb5c328,strong,0.811,2026-06-23T12:00:00+00:00
0181c4ed-360c-5cf9-a788-5a5e951f188f,b966a30f-b120-567c-90b8-c1569fb81b11,c1bbf5dc-d811-509f-874f-e9e41a3f8962,strong,0.957,2026-06-23T12:00:00+00:00
76391c66-bd3a-57bb-ba13-5823e9381fd3,b966a30f-b120-567c-90b8-c1569fb81b11,faca4653-ed63-552f-a9b2-20760cbf2d80,strong,0.874,2026-06-23T12:00:00+00:00
b976f41c-9f21-5f75-a883-6cd48a1615c4,162838ba-6be4-5579-a17e-ce459588540d,b3f4ed34-8079-5086-994e-d97ecdb5c328,strong,0.815,2026-06-23T12:00:00+00:00
df58212a-5f02-5f62-9e8b-b36601e7cd2e,162838ba-6be4-5579-a17e-ce459588540d,c1bbf5dc-d811-509f-874f-e9e41a3f8962,strong,0.939,2026-06-23T12:00:00+00:00
0289e464-8ea2-5c5a-aa4d-4425b6daa80e,162838ba-6be4-5579-a17e-ce459588540d,faca4653-ed63-552f-a9b2-20760cbf2d80,strong,0.830,2026-06-23T12:00:00+00:00
27947729-6272-5e27-88af-dba90e3bd4fc,ad6ff96d-44b3-57e9-8d4b-d982813dbe91,b3f4ed34-8079-5086-994e-d97ecdb5c328,strong,0.910,2026-06-23T12:00:00+00:00
16c90ace-9b67-5d58-b25e-a8bcd92e7f60,ad6ff96d-44b3-57e9-8d4b-d982813dbe91,c1bbf5dc-d811-509f-874f-e9e41a3f8962,missed,0.821,2026-06-23T12:00:00+00:00
aa3ab2e0-fc4a-595d-9508-9b7f8c40993d,ad6ff96d-44b3-57e9-8d4b-d982813dbe91,faca4653-ed63-552f-a9b2-20760cbf2d80,strong,0.735,2026-06-23T12:00:00+00:00
7dac9325-2619-5ac6-b1e5-994bf1e54bc4,9fac19ca-d92d-53b8-b907-67c18759c44f,eef7167c-f87a-59d0-bb1e-82dc5473bef3,strong,0.949,2026-06-23T12:00:00+00:00
53aca4ef-3a4b-5ae9-9a36-92742624555a,9fac19ca-d92d-53b8-b907-67c18759c44f,1315c5fd-5d36-50df-b379-5584de015091,missed,0.930,2026-06-23T12:00:00+00:00
