id,student_id,topic_id,date,status,created_at
5d5b860e-9e5e-562d-8ab2-bdbc40e86690,e69c95f0-1366-52c5-ba1d-87b0479b93d7,b3f4ed34-8079-5086-994e-d97ecdb5c328,2026-02-18,late,2026-06-22T12:00:00+00:00
5b68aa51-67be-5afb-881a-21bca734ddc7,e69c95f0-1366-52c5-ba1d-87b0479b93d7,c1bbf5dc-d811-509f-874f-e9e41a3f8962,2026-02-28,late,2026-06-22T12:00:00+00:00
e33f7028-6840-5dd7-a6ed-e3e04b45d223,e69c95f0-1366-52c5-ba1d-87b0479b93d7,faca4653-ed63-552f-a9b2-20760cbf2d80,2026-03-10,late,2026-06-22T12:00:00+00:00
4f269ecc-f2a5-5f6e-90df-be78f1e371e5,e69c95f0-1366-52c5-ba1d-87b0479b93d7,dfb71247-0ffa-569c-965c-9ff56159c7d1,2026-02-18,absent,2026-06-22T12:00:00+00:00
f9b454cb-0b69-507e-814e-09d93b0c8d5d,e69c95f0-1366-52c5-ba1d-87b0479b93d7,f1c8133d-6edd-51bc-b8ff-160794a47735,2026-02-28,present,2026-06-22T12:00:00+00:00
bdb3f814-cc54-5516-bed8-0d69e3ca109c,e69c95f0-1366-52c5-ba1d-87b0479b93d7,2e6b1c5b-ff6c-5ab7-9b6f-b371a6ad958a,2026-03-10,present,2026-06-22T12:00:00+00:00
d4eb2ca5-0020-508b-a6d0-0f903465432c,e69c95f0-1366-52c5-ba1d-87b0479b93d7,a03fb1cb-70e8-5995-8400-704c65806b94,2026-02-18,present,2026-06-22T12:00:00+00:00
ae8ba9a3-aa02-5b44-a616-c8eaea54b8e6,e69c95f0-1366-52c5-ba1d-87b0479b93d7,6cd1e053-297b-5821-aceb-cb55f7f6366a,2026-02-28,present,2026-06-22T12:00:00+00:00
0f237a42-9c67-5b74-b192-a3a503edfd0d,e69c95f0-1366-52c5-ba1d-87b0479b93d7,cadf61c7-1e20-583c-a655-6ffb20ea8eaf,2026-03-10,late,2026-06-22T12:00:00+00:00
a6b610aa-3aa7-50f8-8c2d-499162e18a7a,535eda10-6732-54c5-bd6d-740c8844e57f,b3f4ed34-8079-5086-994e-d97ecdb5c328,2026-02-18,absent,2026-06-22T12:00:00+00:00
83327288-c59f-5883-ae5c-d291806a2aa4,535eda10-6732-54c5-bd6d-740c8844e57f,c1bbf5dc-d811-509f-874f-e9e41a3f8962,2026-02-28,late,2026-06-22T12:00:00+00:00
af23a806-e249-5379-a69b-21a5fe774475,535eda10-6732-54c5-bd6d-740c8844e57f,faca4653-ed63-552f-a9b2-20760cbf2d80,2026-03-10,excused,2026-06-22T12:00:00+00:00
514ad83b-75d5-5843-8556-ed9fc46fffe1,535eda10-6732-54c5-bd6d-740c8844e57f,dfb71247-0ffa-569c-965c-9ff56159c7d1,2026-02-18,present,2026-06-22T12:00:00+00:00
bd7da081-b6ea-5292-966a-2447bc110b76,535eda10-6732-54c5-bd6d-740c8844e57f,f1c8133d-6edd-51bc-b8ff-160794a47735,2026-02-28,present,2026-06-22T12:00:00+00:00
34017e70-3f1a-53c2-afd0-eebc8df47291,535eda10-6732-54c5-bd6d-740c8844e57f,2e6b1c5b-ff6c-5ab7-9b6f-b371a6ad958a,2026-03-10,present,2026-06-22T12:00:00+00:00
88477fee-b3d0-579a-b98b-606521e42865,535eda10-6732-54c5-bd6d-740c8844e57f,a03fb1cb-70e8-5995-8400-704c65806b94,2026-02-18,late,2026-06-22T12:00:00+00:00
7a2004cb-3520-51b3-9323-d1d88f512878,535eda10-6732-54c5-bd6d-740c8844e57f,6cd1e053-297b-5821-aceb-cb55f7f6366a,2026-02-28,present,2026-06-22T12:00:00+00:00
ae8d921f-d2ea-5351-97e5-b15c4d406fc2,535eda10-6732-54c5-bd6d-740c8844e57f,cadf61c7-1e20-583c-a655-6ffb20ea8eaf,2026-03-10,late,2026-06-22T12:00:00+00:00
8eb1f3ee-ee42-5bbe-93e2-62a159bc3a16,1c08777d-ea13-55ff-b64e-2d2bb2ef4fda,b3f4ed34-8079-5086-994e-d97ecdb5c328,2026-02-18,present,2026-06-22T12:00:00+00:00
d0d05d69-6586-54f7-bd8b-64395296f66b,1c08777d-ea13-55ff-b64e-2d2bb2ef4fda,c1bbf5dc-d811-509f-874f-e9e41a3f8962,2026-02-28,absent,2026-06-22T12:00:00+00:00
ee0b9de3-1e3b-528e-8756-c0760daa9600,1c08777d-ea13-55ff-b64e-2d2bb2ef4fda,faca4653-ed63-552f-a9b2-20760cbf2d80,2026-03-10,present,2026-06-22T12:00:00+00:00
cd20f5a9-6560-5ddf-af24-9a59fc60e22b,1c08777d-ea13-55ff-b64e-2d2bb2ef4fda,dfb71247-0ffa-569c-965c-9ff56159c7d1,2026-02-18,present,2026-06-22T12:00:00+00:00
e620dddb-21a6-5cc1-b236-43656af44b35,1c08777d-ea13-55ff-b64e-2d2bb2ef4fda,f1c8133d-6edd-51bc-b8ff-160794a47735,2026-02-28,present,2026-06-22T12:00:00+00:00
3f8acd5d-0090-5763-9ba9-d84a1b716f3a,1c08777d-ea13-55ff-b64e-2d2bb2ef4fda,2e6b1c5b-ff6c-5ab7-9b6f-b371a6ad958a,2026-03-10,present,2026-06-22T12:00:00+00:00
